
1,Andhra Pradesh,305,1,4
2,Andaman and Nicobar Islands,10,0,0
3,Arunachal Pradesh,1,0,0
4,Assam,27,0,0
5,Bihar,38,0,1
6,Chandigarh,18,7,0
7,Chhattisgarh,10,9,0
8,Delhi,576,21,9
9,Goa,7,0,0
10,Gujarat,165,25,13
11,Haryana,147,28,3
12,Himachal Pradesh,18,2,1
13,Jammu and Kashmir,116,4,2
14,Jharkhand,4,0,0
15,Karnataka,175,25,4
16,Kerala,336,70,2
17,Ladakh,14,10,0
18,Madhya Pradesh,229,0,13
19,Maharashtra,1018,79,64
20,Manipur,2,0,0
21,Mizoram,1,0,0
22,Odisha,42,2,1
23,Puducherry,5,1,0
24,Punjab,91,4,7
25,Rajasthan,328,21,3
26,Tamil Nadu,690,19,7
27,Telengana,364,35,7
28,Tripura,1,0,0
29,Uttarakhand,31,5,0
30,Uttar Pradesh,326,21,3
31,West Bengal,99,13,5
Total number of confirmed cases in India,5194*,402,149
*States wise distribution is subject to further verification and reconciliation
